
Weather{id=null, lon='-3.61', lat='37.19', city='Granada', weatherMain='Clear', weatherDescription='clear sky', weatherIcon='01d', base='stations', mainTemp='18.25', mainPressure='899.02', mainHumidity='42.0', mainTempMin='18.25', mainTempMax='18.25', mainSeaLevel='1022.3', mainGroundLevel='18.25', windSpeed='3.66', windDeg='218.001', rain3H='null', cloudsAll='0', dt='1477153549', sysMessage='0.004', sysCountry='ES', sysSunriseAsTimestamp='1477117789', sysSunsetAsTimestamp='1477157226', sysSunrise='2016-10-22T06:29:49Z', sysSunset='2016-10-22T17:27:06Z', cod='200'}
Weather{id=null, lon='-103.33', lat='20.67', city='Guadalajara', weatherMain='Clouds', weatherDescription='scattered clouds', weatherIcon='03d', base='stations', mainTemp='18.1', mainPressure='851.11', mainHumidity='64.0', mainTempMin='18.1', mainTempMax='18.1', mainSeaLevel='1028.9', mainGroundLevel='18.1', windSpeed='1.96', windDeg='62.0009', rain3H='null', cloudsAll='32', dt='1477153486', sysMessage='0.0035', sysCountry='MX', sysSunriseAsTimestamp='1477140698', sysSunsetAsTimestamp='1477182193', sysSunrise='2016-10-22T12:51:38Z', sysSunset='2016-10-23T00:23:13Z', cod='200'}
Weather{id=null, lon='-6.95', lat='37.26', city='Huelva', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='19.73', mainPressure='1015.01', mainHumidity='95.0', mainTempMin='19.73', mainTempMax='19.73', mainSeaLevel='1020.96', mainGroundLevel='19.73', windSpeed='7.36', windDeg='205.501', rain3H='0.235', cloudsAll='92', dt='1477153550', sysMessage='0.0032', sysCountry='ES', sysSunriseAsTimestamp='1477118597', sysSunsetAsTimestamp='1477158021', sysSunrise='2016-10-22T06:43:17Z', sysSunset='2016-10-22T17:40:21Z', cod='200'}
Weather{id=null, lon='-0.41', lat='42.14', city='Huesca', weatherMain='Clouds', weatherDescription='broken clouds', weatherIcon='04d', base='stations', mainTemp='15.5', mainPressure='968.65', mainHumidity='77.0', mainTempMin='15.5', mainTempMax='15.5', mainSeaLevel='1021.53', mainGroundLevel='15.5', windSpeed='3.56', windDeg='103.501', rain3H='null', cloudsAll='56', dt='1477153162', sysMessage='0.0019', sysCountry='ES', sysSunriseAsTimestamp='1477117414', sysSunsetAsTimestamp='1477156060', sysSunrise='2016-10-22T06:23:34Z', sysSunset='2016-10-22T17:07:40Z', cod='200'}
Weather{id=null, lon='-3.78', lat='37.77', city='Jaen', weatherMain='Clouds', weatherDescription='few clouds', weatherIcon='02d', base='stations', mainTemp='19.23', mainPressure='942.71', mainHumidity='56.0', mainTempMin='19.23', mainTempMax='19.23', mainSeaLevel='1021.85', mainGroundLevel='19.23', windSpeed='2.96', windDeg='229.001', rain3H='null', cloudsAll='24', dt='1477153550', sysMessage='0.0046', sysCountry='ES', sysSunriseAsTimestamp='1477117873', sysSunsetAsTimestamp='1477157222', sysSunrise='2016-10-22T06:31:13Z', sysSunset='2016-10-22T17:27:02Z', cod='200'}
Weather{id=null, lon='-2.5', lat='42.25', city='La Rioja', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='13.3', mainPressure='891.64', mainHumidity='89.0', mainTempMin='13.3', mainTempMax='13.3', mainSeaLevel='1018.77', mainGroundLevel='13.3', windSpeed='2.91', windDeg='197.501', rain3H='1.43', cloudsAll='92', dt='1477153550', sysMessage='0.0039', sysCountry='ES', sysSunriseAsTimestamp='1477117925', sysSunsetAsTimestamp='1477156552', sysSunrise='2016-10-22T06:32:05Z', sysSunset='2016-10-22T17:15:52Z', cod='200'}
Weather{id=null, lon='-81.45', lat='8.13', city='Las Palmas', weatherMain='Clouds', weatherDescription='few clouds', weatherIcon='02d', base='stations', mainTemp='25.63', mainPressure='959.32', mainHumidity='89.0', mainTempMin='25.63', mainTempMax='25.63', mainSeaLevel='1025.05', mainGroundLevel='25.63', windSpeed='0.41', windDeg='343.501', rain3H='null', cloudsAll='12', dt='1477153550', sysMessage='0.006', sysCountry='PA', sysSunriseAsTimestamp='1477134799', sysSunsetAsTimestamp='1477177600', sysSunrise='2016-10-22T11:13:19Z', sysSunset='2016-10-22T23:06:40Z', cod='200'}
Weather{id=null, lon='-5.57', lat='42.57', city='León', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='11.55', mainPressure='908.99', mainHumidity='95.0', mainTempMin='11.55', mainTempMax='11.55', mainSeaLevel='1017.31', mainGroundLevel='11.55', windSpeed='1.96', windDeg='117.501', rain3H='1.5775', cloudsAll='92', dt='1477153550', sysMessage='0.0027', sysCountry='ES', sysSunriseAsTimestamp='1477118690', sysSunsetAsTimestamp='1477157260', sysSunrise='2016-10-22T06:44:50Z', sysSunset='2016-10-22T17:27:40Z', cod='200'}
Weather{id=null, lon='0.62', lat='41.62', city='Lleida', weatherMain='Clouds', weatherDescription='broken clouds', weatherIcon='04d', base='stations', mainTemp='19.38', mainPressure='985.51', mainHumidity='66.0', mainTempMin='19.38', mainTempMax='19.38', mainSeaLevel='1021.85', mainGroundLevel='19.38', windSpeed='1.86', windDeg='123.501', rain3H='null', cloudsAll='56', dt='1477153163', sysMessage='0.0032', sysCountry='ES', sysSunriseAsTimestamp='1477117122', sysSunsetAsTimestamp='1477155858', sysSunrise='2016-10-22T06:18:42Z', sysSunset='2016-10-22T17:04:18Z', cod='200'}
Weather{id=null, lon='-7.57', lat='43.0', city='Lugo', weatherMain='Clouds', weatherDescription='broken clouds', weatherIcon='04d', base='stations', mainTemp='17.63', mainPressure='960.46', mainHumidity='66.0', mainTempMin='17.63', mainTempMax='17.63', mainSeaLevel='1014.64', mainGroundLevel='17.63', windSpeed='2.46', windDeg='155.501', rain3H='null', cloudsAll='56', dt='1477153551', sysMessage='0.0037', sysCountry='ES', sysSunriseAsTimestamp='1477119208', sysSunsetAsTimestamp='1477157701', sysSunrise='2016-10-22T06:53:28Z', sysSunset='2016-10-22T17:35:01Z', cod='200'}
